"ID_t2ce","Date_time","FlagName","GearGrpCode","YearC","TimePeriodID","Cod_qdd","GeoStrata","Lat","Lon","Eff1","kg","areas","SST_mean","Chlor_a","porc_juvenis","porc_adultos","kg_juvenis","kg_adultos"
100329,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_190","5x5",-5,0,39000,0,"area 4",26.5690913810484,0.187202838057311,37.9106085083468,62.0893914916532,0,0
100330,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_202","5x5",-20,5,2134,0,"area 4",21.5446070091129,0.334897447931857,37.9106085083468,62.0893914916532,0,0
100331,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_184","5x5",-35,0,65240,8901,"area 8",18.5064211387601,0.222719629279865,55.6393842264458,44.3606157735542,4952.46158999594,3948.53841000406
100332,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_199","5x5",-35,5,65240,8622,"area 8",18.0773610534274,0.216554073351953,55.6393842264458,44.3606157735542,4797.22770800415,3824.77229199585
100333,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_214","5x5",-35,10,66920,10455,"area 8",19.4798642792742,0.302369743098712,55.6393842264458,44.3606157735542,5817.0976208749,4637.9023791251
100334,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_229","5x5",-35,15,138204,22986,"area 8",20.7815150778226,0.306433677028919,55.6393842264458,44.3606157735542,12789.2688582908,10196.7311417092
100335,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_176","5x5",0,0,13150,0,"area 2",27.2913568926613,0.38086165374356,7.58000391057811,92.4199960894219,0,0
100336,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_146","5x5",0,-10,23500,0,"area 2",26.875273841371,0.148443171730006,7.58000391057811,92.4199960894219,0,0
100337,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_131","5x5",0,-15,39281,55,"area 2",26.88298835,0.176285831730647,7.58000391057811,92.4199960894219,4.16900215081796,50.830997849182
100338,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_175","5x5",-5,0,583365,0,"area 4",25.8461754766129,0.131148668751692,37.9106085083468,62.0893914916532,0,0
100339,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_160","5x5",-5,-5,389426,69,"area 4",25.8980746672581,0.117459506350855,37.9106085083468,62.0893914916532,26.1583198707593,42.8416801292407
100340,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_145","5x5",-5,-10,48340,0,"area 4",26.1285811087097,0.10235530114275,37.9106085083468,62.0893914916532,0,0
100341,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_174","5x5",-10,0,4420,0,"area 4",24.0120440741935,0.0770088054542475,37.9106085083468,62.0893914916532,0,0
100342,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_129","5x5",-10,-15,398200,126375,"area 3",25.1837037225,0.0471827040842547,3.94087171960801,96.059128280392,4980.27663565462,121394.723364345
100343,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_114","5x5",-10,-20,172021,65551,"area 3",26.068310128629,0.0407546720506076,3.94087171960801,96.059128280392,2583.28082092025,62967.7191790798
100344,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_99","5x5",-10,-25,7600,446,"area 3",26.9887633421774,0.0351326029115345,3.94087171960801,96.059128280392,17.5762878694517,428.423712130548
100345,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_143","5x5",-15,-10,4000,559,"area 4",23.4349723037903,0.051054216844623,37.9106085083468,62.0893914916532,211.920301561659,347.079698438341
100346,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_113","5x5",-15,-20,37992,9829,"area 3",25.0629424353226,0.029117465730469,3.94087171960801,96.059128280392,387.348281320271,9441.65171867973
100347,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_98","5x5",-15,-25,20000,4560,"area 3",26.0221746510484,0.0275573019400096,3.94087171960801,96.059128280392,179.703750414125,4380.29624958587
100348,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_83","5x5",-15,-30,52000,14265,"area 3",27.0881722187097,0.0369181832796979,3.94087171960801,96.059128280392,562.165350802083,13702.8346491979
100349,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_127","5x5",-20,-15,3600,410,"area 3",25.0545456680645,0.0304467171733268,3.94087171960801,96.059128280392,16.1575740503928,393.842425949607
100350,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_112","5x5",-20,-20,213830,55457,"area 3",25.60280532,0.0303324511291511,3.94087171960801,96.059128280392,2185.48922954301,53271.510770457
100351,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_97","5x5",-20,-25,198560,46002,"area 3",25.8319536993548,0.0339502888881646,3.94087171960801,96.059128280392,1812.87980845408,44189.1201915459
100352,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_82","5x5",-20,-30,324730,81411,"area 3",26.1161528633064,0.0410986076661376,3.94087171960801,96.059128280392,3208.30307565008,78202.6969243499
100353,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_67","5x5",-20,-35,207700,54608,"area 3",26.2661359362903,0.0598002374642056,3.94087171960801,96.059128280392,2152.03122864354,52455.9687713565
100354,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_81","5x5",-25,-30,3060,329,"area 5",24.753763423871,0.0539882732421045,28.4065309789708,71.5934690210292,93.4574869208139,235.542513079186
100355,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_66","5x5",-25,-35,37200,12436,"area 5",25.0358198676613,0.0647854330029354,28.4065309789708,71.5934690210292,3532.63619254481,8903.36380745519
100356,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_169","5x5",-35,0,20000,2800,"area 8",18.2785037942742,0.234374285498839,55.6393842264458,44.3606157735542,1557.90275834048,1242.09724165952
100357,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_154","5x5",-35,-5,21600,5000,"area 8",18.2291513789113,0.227912853078261,55.6393842264458,44.3606157735542,2781.96921132229,2218.03078867771
100358,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_177","5x5",0,0,2400,0,"area 2",28.2008645465726,0.317509632787371,7.58000391057811,92.4199960894219,0,0
100359,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_117","5x5",0,-20,5560,0,"area 1",27.8783413653226,0.160159052468695,16.5059645219111,83.4940354780889,0,0
100360,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_102","5x5",0,-25,9152,0,"area 1",27.7777899612903,0.154836733625047,16.5059645219111,83.4940354780889,0,0
100361,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_118","5x5",5,-20,61130,0,"area 1",27.2710173783871,0.140526500221228,16.5059645219111,83.4940354780889,0,0
100362,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_103","5x5",5,-25,76378,21,"area 1",26.7650802812903,0.137173164095314,16.5059645219111,83.4940354780889,3.46625254960134,17.5337474503987
100363,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_88","5x5",5,-30,8772,0,"area 1",26.7472431912097,0.134096016518971,16.5059645219111,83.4940354780889,0,0
100365,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_104","5x5",10,-25,57745,71,"area 1",24.9098714801613,0.151180211097973,16.5059645219111,83.4940354780889,11.7192348105569,59.2807651894431
100366,"2007-01-01","Chinese Taipei","LL",2007,1,"5_5_89","5x5",10,-30,45340,67,"area 1",25.3725891990322,0.136419284926691,16.5059645219111,83.4940354780889,11.0589962296805,55.9410037703195
100369,"2007-02-01","Chinese Taipei","LL",2007,2,"5_5_191","5x5",0,0,2550,0,"area 2",28.7252853302455,0.238642520020919,7.58000391057811,92.4199960894219,0,0
100370,"2007-02-01","Chinese Taipei","LL",2007,2,"5_5_184","5x5",-35,0,68920,10046,"area 8",18.6662441839286,0.176635975976148,55.6393842264458,44.3606157735542,5589.53253938874,4456.46746061126
100371,"2007-02-01","Chinese Taipei","LL",2007,2,"5_5_199","5x5",-35,5,259540,46126,"area 8",17.8860211859821,0.275055355292493,55.6393842264458,44.3606157735542,25664.2223682904,20461.7776317096
100372,"2007-02-01","Chinese Taipei","LL",2007,2,"5_5_214","5x5",-35,10,215534,42549,"area 8",19.7527953056696,0.288568335238147,55.6393842264458,44.3606157735542,23674.0015945104,18874.9984054896
100373,"2007-02-01","Chinese Taipei","LL",2007,2,"5_5_229","5x5",-35,15,191613,63463,"area 8",21.8218301001786,0.262515090144666,55.6393842264458,44.3606157735542,35310.4224116293,28152.5775883707
100374,"2007-02-01","Chinese Taipei","LL",2007,2,"5_5_213","5x5",-40,10,7000,790,"area 8",14.2071399213393,0.335354718090008,55.6393842264458,44.3606157735542,439.551135388921,350.448864611079
100375,"2007-02-01","Chinese Taipei","LL",2007,2,"5_5_161","5x5",0,-5,16800,0,"area 2",27.6105040933929,0.150064001839038,7.58000391057811,92.4199960894219,0,0
100376,"2007-02-01","Chinese Taipei","LL",2007,2,"5_5_146","5x5",0,-10,80036,0,"area 2",27.5964969550893,0.142692837221056,7.58000391057811,92.4199960894219,0,0
100377,"2007-02-01","Chinese Taipei","LL",2007,2,"5_5_131","5x5",0,-15,13651,0,"area 2",27.7428683951786,0.136385559995177,7.58000391057811,92.4199960894219,0,0
100378,"2007-02-01","Chinese Taipei","LL",2007,2,"5_5_175","5x5",-5,0,265824,0,"area 4",27.3515183855357,0.13649650002725,37.9106085083468,62.0893914916532,0,0
100379,"2007-02-01","Chinese Taipei","LL",2007,2,"5_5_160","5x5",-5,-5,1082030,476,"area 4",27.08391480875,0.100125323823094,37.9106085083468,62.0893914916532,180.454496499731,295.545503500269
100380,"2007-02-01","Chinese Taipei","LL",2007,2,"5_5_145","5x5",-5,-10,159331,90,"area 4",27.0491469658929,0.0941494948185865,37.9106085083468,62.0893914916532,34.1195476575121,55.8804523424879
100381,"2007-02-01","Chinese Taipei","LL",2007,2,"5_5_130","5x5",-5,-15,50201,168,"area 3",27.2257657189286,0.082955382877275,3.94087171960801,96.059128280392,6.62066448894146,161.379335511059
100382,"2007-02-01","Chinese Taipei","LL",2007,2,"5_5_174","5x5",-10,0,2688,0,"area 4",25.2801586166964,0.0696816589411873,37.9106085083468,62.0893914916532,0,0
100383,"2007-02-01","Chinese Taipei","LL",2007,2,"5_5_129","5x5",-10,-15,54800,12765,"area 3",25.9894880426786,0.044777871459433,3.94087171960801,96.059128280392,503.052275007962,12261.947724992
